Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
1,12.49567961003387,11.761646925173,4.264229670617551,17.58486574382289,11.264339734737257,633.6775223882934,1,2.666123390197754,2,6.308776956177994,1,0.7230915431836016
1,10.676823636568699,3.962368020739122,2.0320264618034822,17.203002305454252,16.26232114485068,780.9969265254754,2,2.583085298538208,2,6.2575196617136015,1,0.7268469876423209
1,9.302233213565474,16.960956578253068,9.488225981075072,17.96452160772232,7.118557382752489,791.6643806159914,2,2.8566765785217285,2,6.3277382854265625,1,0.7365872814741536
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,836.4648657741471,2,2.8428664207458496,1,-5.751896213484613,2,0.7321799527023235
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752488,852.5408665657533,2,3.948580741882324,2,5.989357847285305,1,0.7346181771295982
1,12.62291730513493,11.415608382096176,15.632302580974441,12.156037144848778,0.9723665817122493,927.5928252427611,1,8.79046368598938,2,-5.384150688717924,2,0.7458081834601408
1,1.1739552342851511,9.03355282347073,5.599279498768402,6.828921139671607,8.831645713160155,973.3195195524181,2,3.097040891647339,2,6.5321404192226,1,0.9875240629403413
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,1107.310931347252,1,500,2,24.373591230247584,1,1.5143759870473619
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,1132.3722901002534,1,500,2,-1.0659391823023228,1,-0.6493538524170399
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,1136.8004197357593,1,500,1,16.24529338579991,1,1.5707963339346078
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,1147.1990566406814,1,3.553403615951538,2,6.326515024932121,1,-1.8186283794915514
1,5.8799479838688455,11.40716990811201,12.632634338119402,4.038111504430956,0.27999625443480225,1169.013705006876,2,500,2,15.672394397167722,2,-0.5294383969650206
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.988748987300473,1196.665651654795,2,4.034803867340088,1,6.464160609160118,2,-1.5890546324437653
1,9.303840368446691,16.14574637187639,9.489588811245932,12.494129085556642,7.9441086526195335,1199.7151513957297,2,500,1,4.927407441956461,1,-1.2125489895361086
1,11.410464533891737,13.516779463972991,6.9190760006186665,12.802453323027391,13.970311154734711,1210.6064446012047,2,7.076208591461182,2,6.383733709113528,1,0.6861522388189808
1,8.310683066868965,16.960956578253068,9.488225981075072,16.940922684039073,7.118557382752489,1234.2644979996762,1,2.565059185028076,2,6.047016240359312,1,0.7808955186816545
1,8.85305524432874,16.766682318808254,9.792564320214169,18.383885096881283,10.855038772805182,1274.2051386993924,1,5.519443988800049,2,6.500215998723732,1,1.38122722333263
1,1.739935812103345,11.341697971164987,6.109175736674457,7.555840113281125,10.140310397644004,1338.302511696978,1,2.7290403842926025,2,6.4375660497954925,1,1.0483055615215664
1,1.7623110407365106,13.53501087826796,6.87745479269932,16.038995345818353,11.14323640700875,1368.5637131806848,2,2.942323684692383,2,7.3874411081710605,1,1.065968116654296
1,7.2390481591565825,3.432522652481431,8.25053667381727,16.55866451872415,9.21279606632342,1404.8593413666267,1,3.0155956745147705,2,-3.7906125734041396,2,0.9753712277610548
2,12.49567961003387,11.761646925173,4.264229670617551,17.58486574382289,11.264339734737257,633.6775223882934,1,3.417090892791748,2,7.182873271967338,2,-1.6222060443327049
2,12.49567961003387,11.761646925173,4.264229670617551,17.58486574382289,11.264339734737257,719.0440810750018,1,500,1,19.819245629997454,2,1.1546454561950235
2,10.676823636568699,3.962368020739122,2.0320264618034822,17.203002305454252,16.26232114485068,780.9969265254754,2,4.882112741470337,1,-3.1894096519068995,2,1.545924270491794
2,9.302233213565474,16.960956578253068,9.488225981075072,17.96452160772232,7.118557382752489,791.6643806159914,1,500,2,11.09442795847697,1,0.9824916165856639
2,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.118557382752489,836.4648657741471,1,3.377380132675171,2,-3.7314368938345694,1,0.6270186609402676
