Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
1,9.349622195717016,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,1338.1573849320143,5,1.962892770767212,3,7.231795038733608,6,2.926010921820789
1,9.24198015212509,9.28648951845071,4.203826974316456,0.5842158608988202,2.4056280633623963,1409.6075780615079,2,2.735666036605835,5,2.8761635172970443,7,0.7512688245238355
1,9.949208015204881,5.563223824404487,5.818062934476073,0.7180865223544229,2.4673089927053873,1492.5873827680286,5,2.0705907344818115,4,5.4421735522116705,5,1.8326818141585726
1,9.02984753081345,4.867200857344534,7.628009253886116,1.3372992178961784,1.6365740520603744,1585.1849341738682,5,2.4871985912323,4,3.61972921829107,7,0.9624077754506352
1,7.563618003792497,9.39398260145709,9.322764809808891,9.907768212942985,0.04459791562054338,1615.568418105268,5,2.4491703510284424,5,2.683588202953544,7,0.5127605507506261
1,8.816175914787003,5.317874204208273,9.627712770288184,1.0033653751260962,5.627714524357597,1629.0628083122087,5,2.3956799507141113,5,6.745094664019874,6,2.4137459276773723
1,7.0087525278048135,9.965516114784988,3.3457543022899596,4.820633652866518,0.1904766171999872,1672.4433972041638,5,2.758593797683716,3,3.2220627012371494,7,0.8034138498729428
1,8.259897063595444,5.223857806980538,3.6328384631261095,0.9099520936855077,3.247872958789574,1724.5588252649025,5,2.44616961479187,5,2.8067957691831538,7,0.8688390120863447
1,7.383325076926512,6.831217816068678,8.945867789816484,4.844990160434004,0.678568473317002,1860.985162925982,5,2.381044626235962,4,4.717008803357487,7,1.724745814488791
1,7.209178488721527,6.932344106669569,7.163559686621152,5.947082015711111,5.807673332495739,1884.1313785824063,5,2.599595785140991,5,2.8719856066204557,7,0.8398749484276138
1,7.1523115775407735,7.262686243906768,7.537204995422658,6.135325344790271,2.3629759653188063,1918.3859871719526,5,2.899188280105591,5,2.921409834011939,7,0.4351596636926805
1,7.551774228844059,5.474203012743914,9.302001831495877,8.867873501236236,4.3942369849700444,2065.435978134329,5,2.562389850616455,5,3.1137269450130844,7,1.238509940096397
1,6.214753956983426,8.719683882808411,4.6760892891649615,5.101223637486482,5.088555416096408,2130.7524876393904,5,2.4594645500183105,5,2.85664367789623,7,0.49490957518694906
1,7.0976079957948235,5.301918546500638,3.244710077013895,4.659560585921857,8.670833461114128,2318.7279797836,5,2.665879726409912,5,2.3031436356395005,7,0.7227483854472048
1,7.371481301978075,2.911438227355502,8.836067366797579,3.805095448727257,5.40148118175943,2377.1384161462,5,2.5541324615478516,5,2.4891899351919022,7,1.071717105148031
1,5.979502749375853,8.616450060915636,5.248907357300821,2.3480409854994897,1.0397299127854809,2405.874648114134,5,2.4499025344848633,4,2.866473822055056,7,0.5092869901407672
1,6.094186791471785,8.121817740871247,2.4002591650123675,1.1128502711796284,0.7647191501656103,2414.0934821264073,5,2.4100794792175293,5,3.232318360986099,6,0.7711470064247865
1,7.026435485646836,3.010107043878318,9.20973364035107,8.501216185872604,5.607802609453507,2419.5684128895427,6,3.555455446243286,5,3.117729543822307,7,1.1330209631462564
1,6.9695685744660825,3.340449181115517,9.583378949152575,8.689459514951764,1.4116464416437624,2440.190008170567,6,2.160358428955078,4,6.785434186944968,6,2.193986364456495
1,6.123604186642468,8.21583413809898,8.028396171428573,1.0381657907713007,2.0001839572797726,2470.339221684759,5,2.4951188564300537,5,2.6980985696482236,7,0.5537152070993985
2,9.349622195717016,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,1338.1573849320143,5,2.2371127605438232,3,3.443893566237037,6,1.5902068712019835
2,9.24198015212509,9.28648951845071,4.203826974316456,0.5842158608988202,2.4056280633623963,1409.6075780615079,5,2.4575865268707275,5,2.6798212861531425,7,1.064588920261309
2,9.949208015204881,5.563223824404487,5.818062934476073,0.7180865223544229,2.4673089927053873,1455.666433056213,5,2.365333080291748,5,2.7046954778965215,7,0.7267284570954508
2,9.949208015204881,5.563223824404487,5.818062934476073,0.7180865223544229,2.4673089927053873,1492.5873827680286,5,2.6515560150146484,5,3.1708222111725206,7,0.6797173939405667
2,9.02984753081345,4.867200857344534,7.628009253886116,1.3372992178961784,1.6365740520603744,1585.1849341738682,5,2.353172540664673,4,2.6997940149096706,7,0.6864668254930653
2,7.563618003792497,9.39398260145709,9.322764809808891,9.907768212942985,0.04459791562054338,1615.568418105268,5,2.483301877975464,5,3.2335363393802368,6,0.7783255008838336
2,8.816175914787003,5.317874204208273,9.627712770288184,1.0033653751260962,5.627714524357597,1629.0628083122087,5,2.4227120876312256,3,2.3661078222560405,7,0.8655349646637323
