Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
1,6.653200211386833,16.283825521488833,12.903427557194446,12.364489268840426,7.242895656328898,699.5470373176883,1,6.847241401672363,2,-5.250687451582081,1,0.6338424874857526
1,9.302233213565474,16.960956578253068,9.48822598107507,17.96452160772232,7.11855738275249,713.3786646380336,1,6.08313250541687,2,-4.943961026213138,1,0.6491326110528035
1,8.98881459030791,15.090815078461953,11.25738267277325,5.696670896822722,13.99076267732351,725.3177936361295,1,4.914854526519775,2,-4.699366015747003,1,0.643160700326097
1,12.562576335715043,5.809943302254488,8.987867354236252,18.815369393650244,11.311131617335656,725.809715547523,1,500,1,-10.278297793419,1,0.444530652248593
1,18.230871186123952,15.255158041444842,0.7958148479636762,3.559990757026263,7.8057628926060065,729.049603229957,1,500,1,-10.278297793419,1,0.444530652248593
1,18.97925831646154,15.34500326992233,0.1779571753447695,8.851273043904655,6.524166098097721,729.7794014417648,1,500,1,-10.278297793419,1,0.444530652248593
1,10.289493965151369,16.68126743400608,5.045918880715588,20.0,7.311337656943213,730.007782410096,1,500,1,-10.278297793419,1,0.444530652248593
1,9.073225064047477,0.8970268520654282,12.443830636519506,14.556815413283354,3.280333908886224,732.5246317520603,1,500,1,-0.3292603048496119,2,0.5960886967284944
1,10.9211613281364,12.65773658297266,10.05932702998012,15.103317645882813,6.971559641782738,737.7704700643703,1,6.367357492446899,2,-4.951821750128779,1,0.6415013072448535
1,8.834324992576363,15.821622343548968,3.208818336898754,4.38147250533304,7.0773987571346675,739.4640106858039,1,7.37632417678833,2,-4.895745809913343,1,0.6362088869991329
1,16.526463463904314,14.070352751722247,13.38619122798975,0.7774410322114789,17.06692067412802,742.7564542500962,1,6.825784921646118,2,-4.852799872230406,1,0.6382905782809821
1,15.895911325811989,0.8409088948906903,6.5852389127257895,15.684203831167498,3.036265240457936,744.1815791020924,1,6.802538156509399,2,-4.693700003716174,1,0.6573483638925998
1,8.980938890694206,10.598020599915998,10.07178350257878,11.908295008250553,9.000338281361774,744.5490476706386,1,4.350856304168701,2,-4.449022808171165,1,0.6230973792963371
1,1.3332074017676665,16.84206855026175,1.1599831895042412,5.227842646097002,16.92004766375431,749.3962246005516,2,4.21415638923645,2,-4.7516056458123614,2,0.6007456510411677
1,8.81166165356835,6.771602551948035,6.400319207710656,6.031761597280996,5.236437137308199,752.4007095152659,1,4.996073961257935,2,-5.099185340683462,1,0.6333069927440469
1,8.7812162195849,6.7623400708590875,3.4286288491854844,12.311643208232264,11.98141538354231,752.950419905353,2,6.0638837814331055,2,-4.8401509961631035,1,0.6403001202181184
1,8.855712463381042,6.977033871375619,14.992445425965165,5.796129622678952,2.2867573865059514,754.7906240268454,1,4.277779579162598,2,-4.220515782739007,1,0.649369907319794
1,9.430617133213877,16.925676572004747,9.78040686348198,5.6383015856249825,7.492691301927345,756.8455845008709,1,3.8133223056793213,2,-4.995628434933053,1,0.615078884551901
1,18.634532174647948,4.931827671079246,4.545560253876772,19.927302519277358,9.084994171639163,757.1004756924549,2,4.219686508178711,2,-4.437210245053663,1,0.6319752593097707
1,1.2642505400635191,2.3833810826506214,1.1154341516851642,6.0136523545549325,10.612970492033817,759.0902486303548,1,4.332963466644287,2,-4.353644213947213,1,0.66581942968351
2,10.289493965151369,16.68126743400608,5.045918880715588,20.0,7.311337656943213,617.375312051455,2,2.9723730087280273,3,-4.597679376760489,2,0.6558697669831666
2,6.653200211386833,16.283825521488833,12.903427557194446,12.364489268840426,7.242895656328898,638.084407650638,1,3.1637282371520996,2,-4.038033500434864,1,0.6138953039598737
2,8.980938890694206,10.598020599915998,10.07178350257878,11.908295008250553,9.000338281361774,677.5717366805238,2,3.185952663421631,2,-4.811436293744194,1,0.6464204840911953
