Generation,d_e,k_r,delta,k_o,d_min,Cost,index_dt,dt,index_dy,dy,index_dang,dang
2,3.40872639812026,7.139990130927264,4.815630926921534,6.8383211999711,8.83434732955672,940.5233913164066,2,2.7105841636657715,2,5.280067434548116,1,0.8444982977578092
3,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,481.3792422614494,1,2.927760362625122,3,6.096046099207584,1,0.9358179956860927
3,2.4724184619141685,3.2492002615044813,6.59274688263122,0.1545393407401352,0.8087294473216344,516.5633070882657,1,2.577482223510742,2,4.559931462380661,1,0.730663739998426
3,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,520.0393125727228,1,2.862985372543335,2,-3.199567316494985,2,0.5601745780130016
3,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,542.7198714143233,2,2.816953659057617,2,6.480398565453356,1,0.8619071331163656
3,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,542.7381364146624,1,2.733687162399292,2,-0.628196186217636,1,0.7819077479052865
3,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,565.1191898684625,1,500,2,0.18920691989417548,1,-0.2859970835338712
3,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,571.4508929592599,2,3.0478382110595703,2,-3.330753784066573,1,0.7754550715264095
3,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,572.1929614993929,1,500,2,0.16423065316885754,2,-0.09352402357167978
3,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,577.064741104908,1,500,2,-1.021044655347744,2,-0.642518204559742
3,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,584.9468722713275,2,2.466337203979492,2,4.073647856269275,1,0.7871111132038253
3,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,594.8973678379468,2,2.824188470840454,2,-1.9733574144496018,2,0.557142112541284
3,9.744994980336942,1.681508428578411,4.8216938788246715,4.760385814489455,1.9764764169228843,632.5189911511891,2,2.665269374847412,2,5.92763199932709,1,0.8877375727074968
3,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,633.0305411021034,2,2.60591721534729,2,5.923884919283907,1,0.8748504016839647
3,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,635.938555829902,2,2.5709316730499268,2,5.142425654227608,1,0.6134346294163482
3,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,639.8341254589736,1,3.0173771381378174,2,6.613641470200022,2,-1.5022124646963837
3,8.620565871244908,8.554268927931709,7.50615855837755,7.757153747652528,4.163797423381493,651.975296425149,1,2.895418643951416,2,6.6052108163378875,2,-1.62475509134878
3,3.358476521861462,2.855758032658292,4.911535104546582,3.5408850966858303,1.9805262323634032,702.2316906893814,1,2.761307716369629,2,-3.6760954268830517,1,0.6045205819533286
3,3.358476521861462,2.855758032658292,4.911535104546582,3.5408850966858303,1.9805262323634032,703.8759604656589,2,2.743210554122925,2,6.189844729166097,1,0.8643654955324028
3,4.05531913795381,2.7477703682523527,6.555783165849437,0.8478015912093835,1.733769234300383,746.4385854061456,2,2.4720983505249023,2,5.538832953791825,1,0.8104822686663986
3,6.347578309936213,7.33899274727427,6.893097403620848,3.780515647921279,4.751700603233229,800.6274042916191,2,2.801546812057495,2,5.208973582889172,1,0.8150767574551709
4,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,481.3792422614494,1,2.729301929473877,3,5.799302566395966,1,0.9077462667691615
4,2.4724184619141685,3.2492002615044813,6.59274688263122,0.1545393407401352,0.8087294473216344,516.5633070882657,1,2.483289957046509,2,4.773429671793778,1,0.7446276736999201
4,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,520.0393125727228,1,2.544370651245117,2,-3.1487844528059483,1,0.575609225432874
4,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,542.7198714143233,1,2.586549997329712,2,5.59235359800482,1,0.8462132692360437
4,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,542.7381364146624,1,2.5236053466796875,1,-0.29686657128252136,1,0.7834358218518044
4,8.078319638168429,2.476054576987923,5.359730809044205,4.782523503116173,4.931504549449859,546.8198115304192,1,500,2,0.021373325639189034,1,-0.2669967879609124
4,8.445999973512578,9.122011896104263,5.9173047780844135,6.97376354041428,6.120630876817411,565.1191898684625,2,2.8906893730163574,2,5.240628448489289,1,0.7134482865204091
4,9.302233213565474,8.403007627366772,6.35626706943918,1.0363333802109564,4.322376353319517,571.4508929592599,1,500,2,0.2055488441897495,1,0.14760871366695816
